Category,Question,Answer for Student App (LMS),Notes / Action Required
Privacy Policy,Provide a valid privacy policy URL.,https://lms.yagyaashram.com/privacy-policy,Make sure the privacy policy is live and mentions data collection and deletion.
Ads,Does your app contain ads?,No, my app does not contain ads.,The app is an educational platform without third-party ads.
App Access,Are all or some parts of your app restricted based on login credentials?,Yes, all or some functionality is restricted.,You must provide a test username and password in the console for Google reviewers to access the app.
Content Rating,App Category,Education / Reference,
Content Rating,"Does the app contain violence, sexual content, offensive language, or controlled substances?","No to all.",
Content Rating,"Does the app allow users to interact or exchange content with other users?","Yes (If live class chat is included) or No.","Generally Yes if there is live class interaction. Make sure to specify that it is for educational purposes."
Target Audience,What are the target age groups of your app?,"13-15, 16-17, 18 and over","Since the app is for 10th and 12th-grade students (Science, Math), these age groups are appropriate."
Target Audience,Could your store listing unintentionally appeal to children under 13?,No,
Target Audience,Does your app collect personal information from children under 13?,No,Because target audience is 13+ and above.
News Apps,Is your app a news app?,No,
COVID-19,Is your app a publicly available COVID-19 contact tracing or status app?,My app is not a publicly available COVID-19 contact tracing or status app.,
Data Safety,Does your app collect or share any of the required user data types?,Yes,
Data Safety,Is all of the user data collected by your app encrypted in transit?,Yes,Because the app communicates with the backend over HTTPS.
Data Safety,Does your app provide a way for users to request that their data is deleted?,Yes,You must have an account deletion feature in the app or provide a web link to request deletion.
Data Safety - Data Types,"Do you collect Name, Email address, Phone number?","Yes. Purpose: App Functionality, Account Management. Is it required: Yes.","Collected during sign-up for user accounts."
Data Safety - Data Types,Do you collect User IDs?,Yes. Purpose: App Functionality.,Internal student IDs generated by the system.
Data Safety - Data Types,Do you collect Photos or Videos?,"Yes (If profile pictures or assignments are uploaded). Purpose: App Functionality.",Choose based on whether students upload media.
Data Safety - Data Types,Do you collect App Interactions (page views, video progress)?,"Yes. Purpose: Analytics, App Functionality.",Used to track course progress and attendance.
Data Safety - Data Types,Do you collect Crash Logs / Diagnostics?,Yes. Purpose: Analytics.,If using tools like Firebase Crashlytics or Sentry.
Advertising ID,Does your app use advertising ID?,"No (or Yes for Analytics).","If using Firebase Analytics, it might collect Advertising ID implicitly. If so, select 'Yes' and purpose as 'Analytics'."
Government Apps,Is your app developed by or on behalf of a government?,No,
Financial Features,"Does your app provide any financial features? (Banking, lending, stock trading, crypto, etc.)",No,"Purchasing courses via Razorpay does not fall under the strict financial features (like banking) defined in this section."
